taxa1	average_pairwise_distance
OG0000213-cluster-1	0.055972556143082094
OG0000504-cluster-2	0.022200772200772243
OG0000504-cluster-3	0.007433742727860369
OG0000524-cluster-1	0.13816527656299207
OG0000612-cluster-1	0.029109720674967785
OG0000898-cluster-1	0.010176552531550679
OG0000898-cluster-2	0.00947978169598027
OG0001082-cluster-1	0.12667187245271613
OG0001134-cluster-1	0.017481778847650026
OG0001134-cluster-2	0.032934926958831344
OG0001134-cluster-3	0.15950094673944806
OG0001134-cluster-4	0.005061933872253987
OG0001134-cluster-6	0.0023062730627306273
OG0001134-cluster-7	0.0
OG0001134-cluster-9	0.0012453300124533001
OG0001167-cluster-1	0.13339757690122436
OG0001237-cluster-1	0.003366436626830499
OG0001237-cluster-2	0.05332744176057599
OG0001237-cluster-3	0.005134281200631912
OG0001306-cluster-1	0.06572333264062587
OG0001306-cluster-2	0.0011086474501108645
OG0001326-cluster-1	0.0556086991309991
OG0001326-cluster-3	0.0022488755622188904
OG0001326-cluster-4	0.04342341637724756
OG0001326-cluster-6	0.07738163569870608
OG0001326-cluster-7	0.04504504504504505
OG0001445-cluster-1	0.01874253792052514
OG0001602-cluster-1	0.0717991633724888
OG0001645-cluster-1	0.017165587211382383
OG0001645-cluster-2	0.002131287297527707
OG0001714-cluster-1	0.0769777101404402
OG0001714-cluster-2	0.050366378913489225
OG0001751-cluster-1	0.11820355440753971
OG0001751-cluster-2	0.060362355625562664
OG0001751-cluster-3	0.18181818181818182
OG0001808-cluster-1	0.06178189880608308
OG0001823-cluster-1	0.1678352884080945
OG0001833-cluster-1	0.11788884429512851
OG0001833-cluster-2	0.00760719225449516
OG0001979-cluster-1	0.025542692375857348
OG0002033-cluster-1	0.08250344381526205
OG0002033-cluster-2	0.00952373065115167
OG0002052-cluster-1	0.02295918367346939
OG0002052-cluster-2	0.00420998588114491
OG0002332-cluster-2	0.031431603474419124
OG0002656-cluster-1	0.05274715178085086
OG0002659-cluster-1	0.008328531768896346
OG0002660-cluster-1	0.003090427145535976
OG0002660-cluster-2	0.024996104507650933
OG0003530-cluster-1	0.012789661319073083
OG0003638-cluster-1	0.004040548689645947
OG0003759-cluster-1	0.0029123767441609073
OG0004178-cluster-1	0.003530260993163885
OG0004179-cluster-1	0.0015092879256965942
OG0005700-cluster-1	0.045125944737871376
OG0005789-cluster-1	0.00031041440322830986
